Sample_ID,Virus,Time,Cells
9_Read_Count,no,24h,U4.4
10_Read_Count,no,24h,U4.4
11_Read_Count,no,24h,U4.4
13_Read_Count,yes,24h,U4.4
14_Read_Count,yes,24h,U4.4
15_Read_Count,yes,24h,U4.4
37_Read_Count,no,6h,C6.36
39_Read_Count,no,6h,C6.36
40_Read_Count,no,6h,C6.36
41_Read_Count,yes,6h,C6.36
42_Read_Count,yes,6h,C6.36
43_Read_Count,yes,6h,C6.36
45_Read_Count,no,24h,C6.36
46_Read_Count,no,24h,C6.36
47_Read_Count,no,24h,C6.36
49_Read_Count,yes,24h,C6.36
50_Read_Count,yes,24h,C6.36
52_Read_Count,yes,24h,C6.36
